ID,Category,Subcategory,Keywords,Context,Response,FollowUp,Emotion,ScoreWeight,CombineFlag
19,Goodbyes,Goodbyes,"""farewell, ciao, adieu, take care""",None,"""I've been thinking a lot about farewell, take care, ciao. What are your thoughts?""","""What’s the story behind it?""",curious,0.87,Yes
20,ChitChat,ChitChat,"""technology, culture, pet, hobby""",None,"""I've been thinking a lot about pet, technology, culture. What are your thoughts?""","""Would you like to continue discussing this?""",curious,0.52,Yes
21,ChitChat,ChitChat,"""shopping, festival, weather, books""",None,"""I've been thinking a lot about books, festival, shopping. What are your thoughts?""","""Does it happen often?""",witty,0.58,Yes
22,Humor,Humor,"""memes, silly, pun, quirky""",None,"""I feel pun, quirky is really intriguing. What’s your opinion?""","""How does that make you feel right now?""",optimistic,0.71,Yes
23,Feelings,Feelings,"""sad, stressed, confident, tired""",None,"""Do you enjoy sad, tired, confident? I find it quite interesting.""","""Do you want some advice?""",relaxed,0.67,No
24,Thoughts,Thoughts,"""gaming, tech, politics, books""",None,"""I've been thinking a lot about books, gaming, politics. What are your thoughts?""","""Does it happen often?""",motivated,0.58,No
25,Intro,Intro,"""hey, ahoy, hi, yo""",None,"""hi, ahoy, yo can be so engaging! Do you like it as well?""","""Would you like to continue discussing this?""",excited,0.6,No
26,Intro,Intro,"""ahoy, hey, howdy, sup""",None,"""sup? That’s an interesting topic! Let's discuss.""","""Does it remind you of anything?""",relaxed,0.83,No
27,Thoughts,Thoughts,"""music, movies, literature, books""",None,"""literature can be so engaging! Do you like it as well?""","""Do you want some advice?""",chill,0.68,Yes
28,Humor,Humor,"""haha, lol, quirky, prank""",None,"""prank, quirky is something I like to explore. How about you?""","""Would you like to continue discussing this?""",friendly,0.58,Yes
29,Goodbyes,Goodbyes,"""night, see you, ciao, peace""",None,"""Recently, ciao, see you caught my attention. Have you noticed that too?""","""What else comes to mind?""",excited,0.77,Yes
30,ChitChat,ChitChat,"""food, festival, pets, games""",None,"""pets, games, food can be so engaging! Do you like it as well?""","""What’s the story behind it?""",inquisitive,0.93,No
31,Humor,Humor,"""quirky, memes, joke, sarcastic""",None,"""What do you think about quirky, memes? It's been on my mind.""","""Does it happen often?""",inquisitive,0.54,Yes
32,ChitChat,ChitChat,"""coffee, food, fitness, shopping""",None,"""I've been thinking a lot about coffee. What are your thoughts?""","""Is there a reason it makes you happy?""",cheerful,0.67,No
33,Intro,Intro,"""hello, sup, hi, howdy""",None,"""hi, sup can be so engaging! Do you like it as well?""","""How long has this been on your mind?""",calm,0.65,Yes
34,Humor,Humor,"""silly, laugh, funny, lol""",None,"""Recently, laugh, silly caught my attention. Have you noticed that too?""","""Would you like to continue discussing this?""",supportive,0.8,Yes
35,ChitChat,ChitChat,"""mountains, movies, drink, shopping""",None,"""I've been thinking a lot about movies, mountains, drink. What are your thoughts?""","""Is there a reason it makes you happy?""",helpful,0.65,No
36,Goodbyes,Goodbyes,"""take care, bye, goodbye, see you""",None,"""Do you enjoy take care? I find it quite interesting.""","""What’s the story behind it?""",calm,0.75,No
37,Intro,Intro,"""bonjour, hola, greetings, hello""",None,"""Do you enjoy greetings, hello? I find it quite interesting.""","""How long has this been on your mind?""",supportive,0.82,No
38,ChitChat,ChitChat,"""pets, gardening, shopping, pet""",None,"""shopping, gardening can be so engaging! Do you like it as well?""","""Would you like some tips?""",enthusiastic,0.94,Yes
39,Intro,Intro,"""sup, hey, greetings, bonjour""",None,"""sup, hey always fascinates me. How do you feel about it?""","""How long has this been on your mind?""",curious,0.9,Yes
40,Intro,Intro,"""salutations, hola, bonjour, hello""",None,"""Recently, salutations, hola, bonjour caught my attention. Have you noticed that too?""","""How does that make you feel right now?""",inquisitive,0.86,Yes
41,Goodbyes,Goodbyes,"""later, cheerio, take care, goodbye""",None,"""later, cheerio, goodbye? That’s an interesting topic! Let's discuss.""","""How does that make you feel right now?""",excited,0.92,Yes
42,Intro,Intro,"""hey, bonjour, ahoy, greetings""",None,"""I've been thinking a lot about greetings, hey, ahoy. What are your thoughts?""","""Can you describe it more vividly?""",optimistic,0.76,Yes
43,Thoughts,Thoughts,"""innovation, languages, history, books""",None,"""history? That’s an interesting topic! Let's discuss.""","""Can you describe it more vividly?""",empathetic,0.89,No
44,Goodbyes,Goodbyes,"""farewell, adieu, goodbye, catch you""",None,"""catch you, goodbye, farewell is something I like to explore. How about you?""","""What’s the story behind it?""",curious,0.8,Yes
45,Intro,Intro,"""hello, greetings, hi, howdy""",None,"""Recently, greetings caught my attention. Have you noticed that too?""","""Does it happen often?""",optimistic,0.6,Yes
46,Feelings,Feelings,"""curious, joyful, confident, nervous""",None,"""Do you enjoy confident, nervous? I find it quite interesting.""","""Does it remind you of anything?""",sarcastic,0.81,No
47,ChitChat,ChitChat,"""weather, movies, fitness, pets""",None,"""fitness is something I like to explore. How about you?""","""Can you elaborate on that?""",empathetic,0.57,No
48,Goodbyes,Goodbyes,"""farewell, take care, bye, night""",None,"""I'm curious about night, take care. Care to share your experience?""","""Would you like to continue discussing this?""",optimistic,0.51,Yes
49,Intro,Intro,"""what’s up, hey, hi, bonjour""",None,"""I've been thinking a lot about bonjour, hey, what’s up. What are your thoughts?""","""How does that make you feel right now?""",curious,0.74,No
50,Goodbyes,Goodbyes,"""catch you, night, farewell, later""",None,"""Recently, later, farewell, night caught my attention. Have you noticed that too?""","""Have you tried something similar before?""",funny,0.76,No
51,Humor,Humor,"""quirky, joke, sarcastic, lol""",None,"""I've been thinking a lot about lol, joke. What are your thoughts?""","""Do you often feel this way?""",optimistic,0.93,Yes
52,Humor,Humor,"""joke, sarcastic, memes, silly""",None,"""I feel memes, joke, sarcastic is really intriguing. What’s your opinion?""","""Would you like some tips?""",sarcastic,0.67,Yes
53,Goodbyes,Goodbyes,"""peace, cheerio, ciao, see you""",None,"""I'm curious about see you. Care to share your experience?""","""Can you describe it more vividly?""",relaxed,0.8,Yes
54,Intro,Intro,"""hola, yo, greetings, ahoy""",None,"""I feel ahoy is really intriguing. What’s your opinion?""","""What’s the story behind it?""",thoughtful,0.55,Yes
55,ChitChat,ChitChat,"""culture, fitness, gardening, games""",None,"""culture, gardening, games is something I like to explore. How about you?""","""Do you often feel this way?""",supportive,0.77,No
56,Goodbyes,Goodbyes,"""adieu, catch you, take care, bye""",None,"""What do you think about catch you, adieu? It's been on my mind.""","""Do you want some advice?""",witty,0.96,Yes
57,Thoughts,Thoughts,"""space, history, books, psychology""",None,"""history, books, psychology can be so engaging! Do you like it as well?""","""Do you want some advice?""",friendly,0.93,No
58,Thoughts,Thoughts,"""sports, gaming, history, design""",None,"""gaming, history always fascinates me. How do you feel about it?""","""How does that make you feel right now?""",motivated,0.55,No
59,Thoughts,Thoughts,"""history, space, art, movies""",None,"""I feel movies is really intriguing. What’s your opinion?""","""Do you often feel this way?""",thoughtful,0.85,No
60,Goodbyes,Goodbyes,"""night, farewell, ciao, later""",None,"""Do you enjoy farewell, later, ciao? I find it quite interesting.""","""Do you enjoy this a lot?""",thoughtful,0.97,Yes
61,Intro,Intro,"""what’s up, hi, ahoy, hiya""",None,"""Recently, hi, hiya, ahoy caught my attention. Have you noticed that too?""","""What’s the story behind it?""",cheerful,0.95,No
62,Feelings,Feelings,"""excited, amused, hopeful, angry""",None,"""Recently, hopeful caught my attention. Have you noticed that too?""","""Do you enjoy this a lot?""",optimistic,0.74,No
63,Goodbyes,Goodbyes,"""see you, bye, farewell, goodbye""",None,"""goodbye, bye can be so engaging! Do you like it as well?""","""How does that make you feel right now?""",curious,0.61,No
64,ChitChat,ChitChat,"""city, games, drink, nature""",None,"""Recently, drink caught my attention. Have you noticed that too?""","""How long has this been on your mind?""",chill,0.52,No
65,Goodbyes,Goodbyes,"""goodbye, farewell, see you, take care""",None,"""take care, farewell, goodbye always fascinates me. How do you feel about it?""","""Does it happen often?""",funny,0.68,Yes
66,Intro,Intro,"""greetings, what’s up, hey, bonjour""",None,"""greetings, hey, what’s up can be so engaging! Do you like it as well?""","""Does it remind you of anything?""",motivated,0.88,No
67,Intro,Intro,"""salutations, hiya, what’s up, sup""",None,"""sup, what’s up, hiya is something I like to explore. How about you?""","""How does that make you feel right now?""",friendly,0.84,No
68,Thoughts,Thoughts,"""fashion, music, innovation, psychology""",None,"""music, psychology, innovation can be so engaging! Do you like it as well?""","""What else comes to mind?""",cheerful,0.79,No
69,Feelings,Feelings,"""sad, excited, amused, joyful""",None,"""joyful, sad always fascinates me. How do you feel about it?""","""Does it remind you of anything?""",thoughtful,0.56,No
70,ChitChat,ChitChat,"""hobby, mountains, games, coffee""",None,"""coffee is something I like to explore. How about you?""","""Do you want some advice?""",enthusiastic,0.63,Yes
71,Thoughts,Thoughts,"""environment, history, design, music""",None,"""I've been thinking a lot about design, music, environment. What are your thoughts?""","""Does it remind you of anything?""",supportive,0.53,Yes
72,Feelings,Feelings,"""frustrated, confident, hopeful, relaxed""",None,"""I've been thinking a lot about relaxed. What are your thoughts?""","""Would you like some tips?""",witty,0.87,No
73,ChitChat,ChitChat,"""shopping, travel, fitness, coffee""",None,"""I'm curious about travel. Care to share your experience?""","""Do you enjoy this a lot?""",curious,0.85,No
74,ChitChat,ChitChat,"""weather, festival, pets, games""",None,"""I'm curious about pets, games, weather. Care to share your experience?""","""Can you elaborate on that?""",helpful,1.0,No
75,Feelings,Feelings,"""joyful, relaxed, jealous, confident""",None,"""jealous is something I like to explore. How about you?""","""Is there a reason it makes you happy?""",optimistic,0.62,Yes
76,Goodbyes,Goodbyes,"""bye, ciao, adieu, later""",None,"""Do you enjoy adieu, ciao? I find it quite interesting.""","""Does it remind you of anything?""",calm,0.72,Yes
77,Intro,Intro,"""yo, hiya, howdy, greetings""",None,"""hiya, howdy can be so engaging! Do you like it as well?""","""What else comes to mind?""",calm,0.73,No
78,Humor,Humor,"""giggle, quirky, funny, haha""",None,"""What do you think about quirky, funny, haha? It's been on my mind.""","""How does that make you feel right now?""",thoughtful,0.88,No
79,Thoughts,Thoughts,"""innovation, tech, books, languages""",None,"""What do you think about books, innovation, languages? It's been on my mind.""","""Is there a reason it makes you happy?""",friendly,0.83,Yes
80,Intro,Intro,"""hey, hola, yo, greetings""",None,"""yo, greetings, hey always fascinates me. How do you feel about it?""","""How does that make you feel right now?""",excited,0.96,No
81,Intro,Intro,"""hola, yo, howdy, greetings""",None,"""I'm curious about greetings, howdy, hola. Care to share your experience?""","""How long has this been on your mind?""",calm,0.64,No
82,Thoughts,Thoughts,"""tech, innovation, languages, philosophy""",None,"""Do you enjoy languages? I find it quite interesting.""","""Does it happen often?""",curious,1.0,Yes
83,ChitChat,ChitChat,"""drink, beach, mountains, movies""",None,"""Recently, drink, beach caught my attention. Have you noticed that too?""","""Do you enjoy this a lot?""",curious,0.58,Yes
84,Thoughts,Thoughts,"""psychology, sports, environment, cooking""",None,"""environment, psychology, sports is something I like to explore. How about you?""","""Have you tried something similar before?""",playful,0.73,Yes
85,Goodbyes,Goodbyes,"""goodbye, cheerio, ciao, adieu""",None,"""cheerio, goodbye, adieu? That’s an interesting topic! Let's discuss.""","""Can you describe it more vividly?""",excited,0.65,Yes
86,Thoughts,Thoughts,"""philosophy, tech, sports, history""",None,"""Recently, tech, sports, history caught my attention. Have you noticed that too?""","""Can you describe it more vividly?""",chill,0.73,No
87,Thoughts,Thoughts,"""space, psychology, music, cooking""",None,"""Do you enjoy cooking, music? I find it quite interesting.""","""Can you elaborate on that?""",funny,0.68,Yes
88,Intro,Intro,"""hiya, ahoy, bonjour, hola""",None,"""I feel hiya, ahoy, hola is really intriguing. What’s your opinion?""","""Can you elaborate on that?""",sarcastic,0.83,No
89,ChitChat,ChitChat,"""games, shopping, weather, pets""",None,"""games, pets, weather is something I like to explore. How about you?""","""Does it happen often?""",relaxed,0.97,No
90,ChitChat,ChitChat,"""sports, travel, technology, games""",None,"""Recently, games caught my attention. Have you noticed that too?""","""Does it remind you of anything?""",enthusiastic,0.67,Yes
91,Humor,Humor,"""giggle, laugh, prank, joke""",None,"""What do you think about prank, joke, giggle? It's been on my mind.""","""Do you often feel this way?""",optimistic,0.74,Yes
92,Goodbyes,Goodbyes,"""later, cheerio, bye, adieu""",None,"""Do you enjoy cheerio? I find it quite interesting.""","""What else comes to mind?""",motivated,0.84,No
93,Thoughts,Thoughts,"""design, innovation, gaming, music""",None,"""I'm curious about design, gaming, music. Care to share your experience?""","""What’s the story behind it?""",funny,0.56,No
94,Goodbyes,Goodbyes,"""farewell, adieu, bye, catch you""",None,"""farewell always fascinates me. How do you feel about it?""","""Can you elaborate on that?""",calm,0.9,No
95,Feelings,Feelings,"""angry, happy, excited, nervous""",None,"""excited, happy? That’s an interesting topic! Let's discuss.""","""Is there a reason it makes you happy?""",thoughtful,0.57,Yes
96,Intro,Intro,"""bonjour, salutations, howdy, greetings""",None,"""I feel greetings is really intriguing. What’s your opinion?""","""Do you often feel this way?""",motivated,0.53,No
97,Humor,Humor,"""laugh, haha, prank, pun""",None,"""Recently, haha caught my attention. Have you noticed that too?""","""Is there a reason it makes you happy?""",thoughtful,0.55,No
98,Thoughts,Thoughts,"""literature, music, environment, philosophy""",None,"""I feel literature is really intriguing. What’s your opinion?""","""How does that make you feel right now?""",chill,0.69,No
99,Goodbyes,Goodbyes,"""take care, peace, later, adieu""",None,"""Recently, peace caught my attention. Have you noticed that too?""","""Would you like to continue discussing this?""",friendly,1.0,Yes
100,Feelings,Feelings,"""jealous, grateful, hopeful, bored""",None,"""Do you enjoy jealous, grateful, bored? I find it quite interesting.""","""Would you like to continue discussing this?""",curious,0.99,Yes
101,ChitChat,ChitChat,"""music, movies, shopping, weather""",None,"""music, movies can be so engaging! Do you like it as well?""","""How long has this been on your mind?""",motivated,0.52,No
102,Thoughts,Thoughts,"""art, design, tech, languages""",None,"""design always fascinates me. How do you feel about it?""","""How long has this been on your mind?""",enthusiastic,0.67,No
103,Thoughts,Thoughts,"""psychology, sports, philosophy, cooking""",None,"""What do you think about philosophy? It's been on my mind.""","""How long has this been on your mind?""",empathetic,0.95,No
104,Intro,Intro,"""sup, hi, bonjour, yo""",None,"""I've been thinking a lot about sup. What are your thoughts?""","""Is there a reason it makes you happy?""",relaxed,0.71,No
105,Goodbyes,Goodbyes,"""farewell, goodbye, bye, cheerio""",None,"""Do you enjoy goodbye, cheerio? I find it quite interesting.""","""How long has this been on your mind?""",empathetic,0.84,Yes
106,Intro,Intro,"""howdy, hey, what’s up, ahoy""",None,"""What do you think about ahoy, hey? It's been on my mind.""","""Can you elaborate on that?""",enthusiastic,0.81,Yes
107,Intro,Intro,"""hiya, hey, salutations, sup""",None,"""salutations, hey always fascinates me. How do you feel about it?""","""Does it remind you of anything?""",supportive,0.86,No
108,Humor,Humor,"""humor, joke, pun, silly""",None,"""humor, silly? That’s an interesting topic! Let's discuss.""","""Have you tried something similar before?""",enthusiastic,0.91,Yes
109,Feelings,Feelings,"""stressed, grateful, relaxed, amused""",None,"""What do you think about stressed? It's been on my mind.""","""How does that make you feel right now?""",helpful,0.9,No
110,Humor,Humor,"""quirky, giggle, joke, memes""",None,"""I feel joke, memes is really intriguing. What’s your opinion?""","""What’s the story behind it?""",calm,0.51,No
111,Thoughts,Thoughts,"""sports, innovation, environment, science""",None,"""What do you think about environment, innovation? It's been on my mind.""","""Do you enjoy this a lot?""",funny,0.88,No
112,ChitChat,ChitChat,"""festival, shopping, books, culture""",None,"""festival, culture, books always fascinates me. How do you feel about it?""","""What’s the story behind it?""",relaxed,0.56,No
113,ChitChat,ChitChat,"""games, weather, drink, nature""",None,"""nature, weather? That’s an interesting topic! Let's discuss.""","""Do you enjoy this a lot?""",witty,0.82,Yes
114,Feelings,Feelings,"""jealous, surprised, confident, stressed""",None,"""I feel surprised, confident, stressed is really intriguing. What’s your opinion?""","""Can you elaborate on that?""",funny,0.82,No
115,Humor,Humor,"""prank, quirky, giggle, silly""",None,"""I'm curious about prank, giggle, silly. Care to share your experience?""","""Would you like to continue discussing this?""",empathetic,0.93,No
116,Goodbyes,Goodbyes,"""ciao, cheerio, bye, peace""",None,"""bye? That’s an interesting topic! Let's discuss.""","""What’s the story behind it?""",chill,0.82,No
117,Intro,Intro,"""salutations, what’s up, sup, hiya""",None,"""Do you enjoy sup? I find it quite interesting.""","""Would you like some tips?""",motivated,0.98,Yes
118,Humor,Humor,"""prank, haha, pun, giggle""",None,"""giggle, pun always fascinates me. How do you feel about it?""","""Would you like some tips?""",optimistic,0.68,No
119,Feelings,Feelings,"""frustrated, grateful, surprised, amused""",None,"""surprised, amused, frustrated? That’s an interesting topic! Let's discuss.""","""Have you tried something similar before?""",sarcastic,0.59,No
120,Intro,Intro,"""hiya, yo, hey, hello""",None,"""I've been thinking a lot about hey. What are your thoughts?""","""How long has this been on your mind?""",helpful,0.65,Yes
121,ChitChat,ChitChat,"""festival, culture, movies, pet""",None,"""Recently, festival, movies, pet caught my attention. Have you noticed that too?""","""Would you like to continue discussing this?""",funny,0.86,Yes
122,Thoughts,Thoughts,"""literature, gaming, art, sports""",None,"""literature, gaming is something I like to explore. How about you?""","""How does that make you feel right now?""",optimistic,0.98,No
123,ChitChat,ChitChat,"""books, technology, hobby, nature""",None,"""books, hobby, technology can be so engaging! Do you like it as well?""","""Do you enjoy this a lot?""",curious,0.67,No
124,Humor,Humor,"""sarcastic, funny, haha, giggle""",None,"""giggle, funny, haha is something I like to explore. How about you?""","""How does that make you feel right now?""",inquisitive,0.84,Yes
125,ChitChat,ChitChat,"""games, mountains, food, hobby""",None,"""hobby, games, food can be so engaging! Do you like it as well?""","""Have you tried something similar before?""",chill,0.83,No
126,Humor,Humor,"""pun, giggle, quirky, silly""",None,"""silly, pun, giggle always fascinates me. How do you feel about it?""","""Do you enjoy this a lot?""",witty,0.85,Yes
127,Intro,Intro,"""hi, salutations, yo, greetings""",None,"""I've been thinking a lot about yo, greetings, hi. What are your thoughts?""","""Does it remind you of anything?""",enthusiastic,0.78,Yes
128,Goodbyes,Goodbyes,"""later, cheerio, night, adieu""",None,"""cheerio? That’s an interesting topic! Let's discuss.""","""Do you enjoy this a lot?""",chill,0.81,Yes
129,Feelings,Feelings,"""nervous, bored, tired, surprised""",None,"""tired, surprised, nervous is something I like to explore. How about you?""","""Do you enjoy this a lot?""",enthusiastic,0.75,No
130,Goodbyes,Goodbyes,"""ciao, night, farewell, later""",None,"""Recently, farewell caught my attention. Have you noticed that too?""","""How does that make you feel right now?""",thoughtful,0.59,No
131,Intro,Intro,"""greetings, howdy, bonjour, salutations""",None,"""I feel greetings, salutations, howdy is really intriguing. What’s your opinion?""","""Does it remind you of anything?""",cheerful,0.51,Yes
132,Humor,Humor,"""silly, joke, laugh, memes""",None,"""memes, joke, silly always fascinates me. How do you feel about it?""","""Would you like some tips?""",playful,0.75,Yes
133,Feelings,Feelings,"""anxious, grateful, hopeful, jealous""",None,"""What do you think about jealous, anxious, grateful? It's been on my mind.""","""Would you like some tips?""",playful,0.7,Yes
134,ChitChat,ChitChat,"""mountains, beach, pet, pets""",None,"""pets can be so engaging! Do you like it as well?""","""How long has this been on your mind?""",motivated,0.53,No
135,Intro,Intro,"""bonjour, hey, what’s up, greetings""",None,"""What do you think about greetings, what’s up? It's been on my mind.""","""Do you want some advice?""",inquisitive,0.52,Yes
136,Thoughts,Thoughts,"""philosophy, fashion, cooking, design""",None,"""Do you enjoy fashion? I find it quite interesting.""","""Can you describe it more vividly?""",thoughtful,0.62,No
137,ChitChat,ChitChat,"""weather, music, beach, technology""",None,"""music, weather? That’s an interesting topic! Let's discuss.""","""Do you often feel this way?""",helpful,0.68,No
138,ChitChat,ChitChat,"""sports, games, pet, music""",None,"""sports can be so engaging! Do you like it as well?""","""How does that make you feel right now?""",friendly,0.81,No
139,Feelings,Feelings,"""relaxed, happy, joyful, tired""",None,"""tired, happy is something I like to explore. How about you?""","""Do you often feel this way?""",relaxed,0.78,No
140,Goodbyes,Goodbyes,"""cheerio, take care, peace, see you""",None,"""take care, see you can be so engaging! Do you like it as well?""","""Do you enjoy this a lot?""",curious,0.76,Yes
141,ChitChat,ChitChat,"""coffee, travel, drink, nature""",None,"""coffee always fascinates me. How do you feel about it?""","""How does that make you feel right now?""",excited,0.52,No
142,Feelings,Feelings,"""anxious, bored, frustrated, grateful""",None,"""Recently, anxious, grateful, frustrated caught my attention. Have you noticed that too?""","""Do you want some advice?""",enthusiastic,0.7,Yes
143,ChitChat,ChitChat,"""coffee, gardening, beach, shopping""",None,"""Do you enjoy gardening, shopping, beach? I find it quite interesting.""","""How long has this been on your mind?""",cheerful,0.65,Yes
144,Humor,Humor,"""giggle, laugh, joke, funny""",None,"""I'm curious about joke. Care to share your experience?""","""Does it remind you of anything?""",optimistic,0.8,Yes
145,Intro,Intro,"""hello, greetings, sup, hi""",None,"""I've been thinking a lot about sup, hello, greetings. What are your thoughts?""","""Would you like to continue discussing this?""",thoughtful,0.99,No
146,Thoughts,Thoughts,"""sports, gaming, languages, science""",None,"""I feel gaming is really intriguing. What’s your opinion?""","""How long has this been on your mind?""",cheerful,0.87,Yes
147,Humor,Humor,"""lol, haha, giggle, joke""",None,"""joke, haha, lol can be so engaging! Do you like it as well?""","""What else comes to mind?""",empathetic,0.66,No
148,ChitChat,ChitChat,"""pets, gardening, food, city""",None,"""gardening, pets always fascinates me. How do you feel about it?""","""Would you like some tips?""",enthusiastic,1.0,No
149,Goodbyes,Goodbyes,"""ciao, farewell, catch you, goodbye""",None,"""goodbye? That’s an interesting topic! Let's discuss.""","""Does it happen often?""",relaxed,0.56,No
150,Humor,Humor,"""lol, haha, sarcastic, silly""",None,"""Recently, sarcastic, haha caught my attention. Have you noticed that too?""","""Can you describe it more vividly?""",inquisitive,0.92,No
151,Goodbyes,Goodbyes,"""cheerio, farewell, ciao, see you""",None,"""cheerio, farewell, see you? That’s an interesting topic! Let's discuss.""","""Is there a reason it makes you happy?""",relaxed,0.78,Yes
152,Humor,Humor,"""joke, funny, sarcastic, lol""",None,"""What do you think about lol, joke, sarcastic? It's been on my mind.""","""Do you want some advice?""",curious,0.73,No
153,Thoughts,Thoughts,"""environment, cooking, history, languages""",None,"""cooking, languages? That’s an interesting topic! Let's discuss.""","""Would you like some tips?""",curious,0.73,Yes
154,Thoughts,Thoughts,"""history, sports, gaming, art""",None,"""What do you think about history, sports, art? It's been on my mind.""","""Is there a reason it makes you happy?""",thoughtful,0.59,Yes
155,Intro,Intro,"""bonjour, hiya, howdy, sup""",None,"""I'm curious about bonjour, sup. Care to share your experience?""","""What’s the story behind it?""",supportive,0.72,No
156,Thoughts,Thoughts,"""languages, innovation, fashion, psychology""",None,"""Do you enjoy languages, psychology, innovation? I find it quite interesting.""","""Does it happen often?""",motivated,0.93,Yes
157,Humor,Humor,"""quirky, humor, lol, haha""",None,"""lol always fascinates me. How do you feel about it?""","""Would you like to continue discussing this?""",thoughtful,0.85,No
158,Thoughts,Thoughts,"""science, environment, psychology, space""",None,"""Do you enjoy science, psychology, space? I find it quite interesting.""","""Is there a reason it makes you happy?""",thoughtful,0.93,No
159,Intro,Intro,"""yo, ahoy, what’s up, sup""",None,"""I feel sup, what’s up, ahoy is really intriguing. What’s your opinion?""","""Do you enjoy this a lot?""",supportive,0.84,Yes
160,Humor,Humor,"""prank, sarcastic, humor, haha""",None,"""haha, sarcastic, humor is something I like to explore. How about you?""","""What else comes to mind?""",chill,0.74,No
161,Humor,Humor,"""lol, memes, humor, sarcastic""",None,"""memes, lol always fascinates me. How do you feel about it?""","""Do you enjoy this a lot?""",thoughtful,0.89,Yes
162,Thoughts,Thoughts,"""gaming, movies, environment, sports""",None,"""gaming always fascinates me. How do you feel about it?""","""How does that make you feel right now?""",relaxed,0.84,Yes
163,Intro,Intro,"""what’s up, sup, hello, howdy""",None,"""I'm curious about what’s up. Care to share your experience?""","""Is there a reason it makes you happy?""",optimistic,0.9,Yes
164,Humor,Humor,"""laugh, pun, humor, giggle""",None,"""humor, giggle, pun can be so engaging! Do you like it as well?""","""Have you tried something similar before?""",inquisitive,0.76,Yes
165,Intro,Intro,"""ahoy, yo, hey, hiya""",None,"""I feel yo is really intriguing. What’s your opinion?""","""Is there a reason it makes you happy?""",thoughtful,0.57,Yes
166,Feelings,Feelings,"""stressed, jealous, bored, nervous""",None,"""What do you think about bored, jealous, stressed? It's been on my mind.""","""Is there a reason it makes you happy?""",thoughtful,0.96,Yes
167,ChitChat,ChitChat,"""hobby, city, drink, movies""",None,"""I'm curious about hobby, movies, city. Care to share your experience?""","""What else comes to mind?""",helpful,0.53,Yes
168,Intro,Intro,"""hola, howdy, bonjour, what’s up""",None,"""Recently, hola, what’s up, howdy caught my attention. Have you noticed that too?""","""Do you often feel this way?""",friendly,0.63,No
