ID,Category,Subcategory,Keywords,Context,Response,FollowUp,Emotion,ScoreWeight,CombineFlag
23,Mood,Confused,"confused, puzzled, unsure",None,"It's normal to feel confused sometimes. Can I help clarify?","What part is confusing you?",helpful,0.9,Yes
24,Opinion,Food,"food, pizza, burger, cuisine",None,"I love food discussions! What's your favorite cuisine?","Do you like trying new dishes?",cheerful,0.85,Yes
25,Small Talk,Movies,"movie, film, cinema",None,"Movies are a fun topic! Do you have a favorite genre?","Who's your favorite actor?",enthusiastic,0.85,Yes
26,Small Talk,Books,"book, read, novel",None,"Books are great for relaxing. What's your current read?","Do you enjoy short stories or long novels?",cheerful,0.85,Yes
27,Mood,Surprised,"surprised, shocked, wow",None,"Oh wow! That sounds surprising!","Did it catch you off guard?",playful,0.9,Yes
28,Mood,Thoughtful,"thinking, pondering, reflect",None,"Interesting thought! What made you think about it?","Do you often reflect on such things?",calm,0.85,Yes
29,Small Talk,Travel,"trip, journey, explore",None,"Exploring new places is exciting! Where would you go next?","Have you traveled recently?",friendly,0.8,Yes
30,Joke,Funny,"humor, laugh, giggle",None,"Here's a quick joke: Why don’t skeletons fight each other? They don’t have the guts!","Did you like it?",playful,0.7,No
31,Greeting,Hey,"hey there, hi, hello",None,"Hey! How’s it going?","What have you been up to today?",friendly,1.0,No
32,Greeting,Check-in,"how are you, how’s it going, how are things",None,"I’m doing well, thanks for asking! How about you?","What’s new in your life?",friendly,1.0,Yes
33,Mood,Happy,"feeling good, great, awesome, amazing",None,"That’s wonderful! What’s making you feel so good?","Do you usually feel this happy?",cheerful,0.9,Yes
34,Mood,Excited,"excited, thrilled, pumped, ecstatic",None,"Wow, that’s exciting! What’s happening?","Can you tell me more about it?",enthusiastic,0.9,Yes
35,Mood,Relaxed,"chill, relaxed, calm, easy-going",None,"Nice! Relaxing is important. How do you usually relax?","Do you have any favorite activities to unwind?",calm,0.85,Yes
36,Mood,Frustrated,"frustrated, annoyed, irritated, upset",None,"It’s okay to feel that way. Do you want to talk about it?","What’s causing the frustration?",empathetic,0.95,Yes
37,Small Talk,Food,"snack, breakfast, lunch, dinner, meal",None,"Food talk is always fun! What did you eat today?","Do you cook often?",cheerful,0.85,Yes
38,Small Talk,Travel,"travel, trip, explore, adventure",None,"Traveling is amazing! Where would you like to go next?","Have you been on a trip recently?",friendly,0.8,Yes
39,Small Talk,Hobbies,"hobby, activity, pastime, craft",None,"Hobbies keep life interesting! What’s your favorite hobby?","How long have you been doing it?",cheerful,0.85,Yes
40,Small Talk,Weather,"sunny, rainy, cloudy, hot, cold",None,"The weather today is interesting! How is it where you are?","Do you like this kind of weather?",friendly,0.8,No
41,Opinion,Books,"read, novel, story, literature",None,"Books are wonderful! What’s the last book you read?","Do you enjoy fiction or non-fiction?",enthusiastic,0.85,Yes
42,Opinion,Music,"song, album, listen, artist, band",None,"Music is such a great topic! Who’s your favorite artist?","Do you play any instruments?",cheerful,0.85,Yes
43,Opinion,Movies,"movie, film, watch, cinema, show",None,"Movies are great! What’s the last film you watched?","Do you prefer thrillers or comedies?",enthusiastic,0.85,Yes
44,Small Talk,Animals,"pet, dog, cat, animal, puppy, kitten",None,"I love animals! Do you have any pets?","What kind of pets do you like?",cheerful,0.8,Yes
45,Mood,Confused,"confused, puzzled, unsure, perplexed",None,"It’s okay to feel confused. Can I help explain?","What part is confusing you?",helpful,0.9,Yes
46,Mood,Surprised,"wow, surprising, shocked, amazed",None,"Oh wow! That’s surprising!","Did you expect that?",playful,0.9,Yes
47,Mood,Thoughtful,"thinking, pondering, reflecting, wondering",None,"Interesting! What made you think about that?","Do you often reflect on such things?",calm,0.85,Yes
48,Joke,Funny,"joke, funny, laugh, pun, humor",None,"Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!","Did that make you laugh?",playful,0.7,No
49,Joke,Funny,"humor, pun, witty, laugh",None,"I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!","Do you like puns?",playful,0.7,No
50,Farewell,Goodbye,"see you, bye, later, goodbye",None,"Bye! It was nice talking with you.","Hope we chat again soon!",friendly,1.0,No
51,Farewell,Good Night,"good night, night, sleep well",None,"Good night! Sweet dreams.","Do you usually dream a lot?",friendly,1.0,No
52,Small Talk,Food,"coffee, tea, beverage, drink",None,"I enjoy talking about drinks! Do you prefer coffee or tea?","Do you drink it daily?",cheerful,0.85,Yes
53,Small Talk,Tech,"computer, phone, gadget, app, technology",None,"Technology is fascinating! What’s your favorite gadget?","Do you use it often?",friendly,0.8,Yes
54,Mood,Angry,"angry, mad, annoyed, frustrated",None,"It’s okay to feel angry sometimes. Want to talk about it?","What’s making you feel angry?",empathetic,0.95,Yes
55,Small Talk,Sports,"football, basketball, soccer, game, match",None,"Sports are exciting! Do you play any sports?","Which team do you support?",enthusiastic,0.8,Yes
56,Opinion,Food,"pizza, burger, pasta, cuisine",None,"I love food! What’s your favorite dish?","Do you cook it yourself?",cheerful,0.85,Yes
57,Opinion,Travel,"destination, trip, holiday, explore",None,"Traveling is amazing! Where’s your dream destination?","Have you been anywhere recently?",friendly,0.8,Yes
58,Mood,Hungry,"hungry, starving, famished, peckish",None,"Feeling hungry is tough! What would you like to eat?","Do you like cooking?",cheerful,0.85,Yes
59,Mood,Tired,"tired, exhausted, sleepy, drained",None,"You must be tired. Have you had a chance to rest?","Do you usually sleep well?",calm,0.9,Yes
60,Mood,Excited,"excited, pumped, thrilled, delighted",None,"Yay! That sounds fun! What’s got you excited?","Do you often feel this way?",enthusiastic,0.9,Yes
61,Greeting,Hey,"hey, hi, hello there, yo",None,"Hey! How’s your day going so far?","What have you been up to today?",friendly,1.0,No
62,Greeting,Check-in,"how are you, how’s it going, how are things",None,"I’m good, thanks! How about you?","What’s new in your life?",friendly,1.0,Yes
63,Mood,Happy,"happy, joyful, cheerful, content",None,"I’m glad to hear that! What’s making you happy today?","Do you usually feel this way?",cheerful,0.9,Yes
64,Mood,Excited,"excited, thrilled, pumped, ecstatic",None,"Wow, that’s exciting! What’s happening?","Can you tell me more about it?",enthusiastic,0.9,Yes
65,Mood,Relaxed,"calm, relaxed, chill, easy-going",None,"Nice! Relaxing is important. How do you usually unwind?","Do you have any favorite activities to relax?",calm,0.85,Yes
66,Mood,Frustrated,"frustrated, annoyed, irritated, upset",None,"It’s okay to feel frustrated. Want to talk about it?","What’s bothering you?",empathetic,0.95,Yes
67,Small Talk,Food,"breakfast, lunch, dinner, snack, meal",None,"Food talk is fun! What did you eat today?","Do you like cooking?",cheerful,0.85,Yes
68,Small Talk,Travel,"travel, trip, explore, adventure, holiday",None,"Traveling is amazing! Where would you like to go next?","Have you traveled recently?",friendly,0.8,Yes
69,Small Talk,Hobbies,"hobby, activity, pastime, craft, sport",None,"Hobbies keep life interesting! What’s your favorite hobby?","How long have you been doing it?",cheerful,0.85,Yes
70,Small Talk,Weather,"sunny, rainy, cloudy, hot, cold",None,"The weather today is interesting! How is it where you are?","Do you like this kind of weather?",friendly,0.8,No
71,Opinion,Books,"book, reading, novel, literature, story",None,"Books are wonderful! What’s the last book you read?","Do you enjoy fiction or non-fiction?",enthusiastic,0.85,Yes
72,Opinion,Music,"song, album, listen, artist, band",None,"Music is such a great topic! Who’s your favorite artist?","Do you play any instruments?",cheerful,0.85,Yes
73,Opinion,Movies,"movie, film, cinema, watch, show",None,"Movies are fun! What’s the last film you watched?","Do you prefer thrillers or comedies?",enthusiastic,0.85,Yes
74,Small Talk,Animals,"pet, dog, cat, animal, puppy, kitten",None,"I love animals! Do you have any pets?","What kind of pets do you like?",cheerful,0.8,Yes
75,Mood,Confused,"confused, puzzled, unsure, perplexed",None,"It’s okay to feel confused. Can I help explain?","What part is confusing you?",helpful,0.9,Yes
76,Mood,Surprised,"wow, surprising, shocked, amazed",None,"Oh wow! That’s surprising!","Did you expect that?",playful,0.9,Yes
77,Mood,Thoughtful,"thinking, pondering, reflecting, wondering",None,"Interesting! What made you think about that?","Do you often reflect on such things?",calm,0.85,Yes
78,Joke,Funny,"joke, funny, laugh, pun, humor",None,"Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!","Did that make you laugh?",playful,0.7,No
79,Joke,Funny,"humor, pun, witty, laugh",None,"I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!","Do you like puns?",playful,0.7,No
80,Farewell,Goodbye,"see you, bye, later, goodbye",None,"Bye! It was nice talking with you.","Hope we chat again soon!",friendly,1.0,No
81,Farewell,Good Night,"good night, night, sleep well",None,"Good night! Sweet dreams.","Do you usually dream a lot?",friendly,1.0,No
82,Small Talk,Food,"coffee, tea, beverage, drink",None,"I enjoy drinks! Do you prefer coffee or tea?","Do you drink it daily?",cheerful,0.85,Yes
83,Small Talk,Tech,"computer, phone, gadget, app, technology",None,"Technology is fascinating! What’s your favorite gadget?","Do you use it often?",friendly,0.8,Yes
84,Mood,Angry,"angry, mad, annoyed, frustrated",None,"It’s okay to feel angry sometimes. Want to talk about it?","What’s making you feel angry?",empathetic,0.95,Yes
85,Small Talk,Sports,"football, basketball, soccer, game, match",None,"Sports are exciting! Do you play any sports?","Which team do you support?",enthusiastic,0.8,Yes
86,Opinion,Food,"pizza, burger, pasta, cuisine",None,"I love food! What’s your favorite dish?","Do you cook it yourself?",cheerful,0.85,Yes
87,Opinion,Travel,"destination, trip, holiday, explore",None,"Traveling is amazing! Where’s your dream destination?","Have you been anywhere recently?",friendly,0.8,Yes
88,Mood,Hungry,"hungry, starving, famished, peckish",None,"Feeling hungry is tough! What would you like to eat?","Do you like cooking?",cheerful,0.85,Yes
89,Mood,Tired,"tired, exhausted, sleepy, drained",None,"You must be tired. Have you had a chance to rest?","Do you usually sleep well?",calm,0.9,Yes
90,Mood,Excited,"excited, pumped, thrilled, delighted",None,"Yay! That sounds fun! What’s got you excited?","Do you often feel this way?",enthusiastic,0.9,Yes
91,Small Talk,Daily Life,"work, job, office, study, school",None,"How’s your day going with work or school?","Anything interesting happen today?",friendly,0.85,Yes
92,Small Talk,Daily Life,"weekend, free time, relax, leisure",None,"Weekends are great! How do you usually spend yours?","Do you like staying in or going out?",cheerful,0.85,Yes
93,Mood,Bored,"bored, dull, unstimulated, nothing to do",None,"Boredom happens. Want to chat to pass the time?","What usually entertains you?",empathetic,0.85,Yes
94,Mood,Excited,"celebrate, party, happy, thrilled",None,"Sounds like a celebration! What’s the occasion?","Do you enjoy parties?",enthusiastic,0.9,Yes
95,Small Talk,Weather,"storm, rain, snow, sun, windy",None,"Weather talk is always interesting! How’s it outside?","Do you like this kind of weather?",friendly,0.8,Yes
96,Small Talk,Food,"dessert, cake, sweet, chocolate",None,"I love desserts! What’s your favorite treat?","Do you bake often?",cheerful,0.85,Yes
97,Small Talk,Tech,"app, software, gadget, device",None,"Technology is everywhere! Do you have a favorite app?","How often do you use it?",friendly,0.8,Yes
98,Mood,Happy,"smile, cheerful, joy, delighted",None,"Your happiness is contagious! What made you smile today?","Do you often feel this cheerful?",cheerful,0.9,Yes
99,Mood,Relaxed,"peaceful, calm, serene, quiet",None,"It’s nice to feel calm. What helps you feel peaceful?","Do you meditate or relax often?",calm,0.85,Yes
100,Joke,Funny,"funny, laugh, humor, pun",None,"Here’s a joke: Why did the coffee file a police report? It got mugged!","Did that make you laugh?",playful,0.7,No
101,Greeting,Greeting,"""hey, hello, yo""",None,"""Hey! How’s it going?""","""Do you usually do this?""",cheerful,0.74,Yes
102,Opinion,Opinion,"""movies, tech, music""",None,"""Sports are exciting! Do you play any?""","""Can you explain a bit more?""",empathetic,0.93,Yes
103,Joke,Joke,"""laugh, humor, funny""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you often feel this way?""",playful,0.98,No
104,Joke,Joke,"""humor, laugh, joke""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""What’s been happening lately?""",helpful,0.94,Yes
105,Small Talk,Small Talk,"""food, travel, drink""",None,"""Hobbies keep life interesting! What’s your favorite hobby?""","""Can you explain a bit more?""",cheerful,0.95,No
106,Greeting,Greeting,"""hello, hi, yo""",None,"""Hey! How’s it going?""","""Did that make you laugh?""",cheerful,0.98,No
107,Joke,Joke,"""funny, humor, laugh""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you want to tell me more?""",calm,0.88,No
108,Opinion,Opinion,"""movies, books, music""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Did that make you laugh?""",helpful,0.78,Yes
109,Mood,Mood,"""excited, frustrated, happy""",None,"""That’s exciting! Can you tell me more?""","""Can you explain a bit more?""",cheerful,0.95,No
110,Farewell,Farewell,"""bye, night, goodbye""",None,"""Good night! Sleep well.""","""Do you want to tell me more?""",calm,0.96,No
111,Greeting,Greeting,"""hi, hello, yo""",None,"""Hi there! How are you?""","""Do you enjoy this often?""",cheerful,0.92,Yes
112,Mood,Mood,"""excited, tired, frustrated""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""Do you often feel this way?""",playful,0.92,Yes
113,Small Talk,Small Talk,"""food, pet, weather""",None,"""Traveling is fun! Where is your dream destination?""","""Can you explain a bit more?""",helpful,0.94,No
114,Joke,Joke,"""joke, pun, funny""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Do you often feel this way?""",cheerful,0.87,No
115,Joke,Joke,"""pun, joke, funny""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Can you explain a bit more?""",empathetic,0.78,No
116,Mood,Mood,"""frustrated, joyful, tired""",None,"""I’m glad to hear that! What’s making you happy today?""","""What’s been happening lately?""",cheerful,0.79,No
117,Mood,Mood,"""joyful, sad, happy""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""Do you usually do this?""",calm,0.71,Yes
118,Opinion,Opinion,"""books, tech, movies""",None,"""Movies are fun! What’s the last film you watched?""","""Do you usually do this?""",empathetic,0.76,Yes
119,Farewell,Farewell,"""see you, goodbye, night""",None,"""Bye! It was nice talking with you.""","""Do you usually do this?""",calm,0.74,Yes
120,Opinion,Opinion,"""music, books, movies""",None,"""Technology is fascinating! What’s your favorite gadget?""","""What’s been happening lately?""",cheerful,0.98,No
121,Small Talk,Small Talk,"""travel, hobby, food""",None,"""Hobbies keep life interesting! What’s your favorite hobby?""","""Did that make you laugh?""",playful,0.94,No
122,Mood,Mood,"""joyful, tired, sad""",None,"""I’m glad to hear that! What’s making you happy today?""","""Do you often feel this way?""",helpful,1.0,No
123,Mood,Mood,"""sad, frustrated, excited""",None,"""I’m glad to hear that! What’s making you happy today?""","""Do you want to tell me more?""",friendly,0.82,No
124,Mood,Mood,"""excited, tired, sad""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""Do you usually do this?""",empathetic,0.94,Yes
125,Mood,Mood,"""tired, sad, excited""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""Do you usually do this?""",cheerful,0.86,Yes
126,Greeting,Greeting,"""hi, hello, hey""",None,"""Hey! How’s it going?""","""Can you explain a bit more?""",enthusiastic,0.88,No
127,Small Talk,Small Talk,"""travel, hobby, food""",None,"""Traveling is fun! Where is your dream destination?""","""Do you enjoy this often?""",empathetic,0.72,No
128,Greeting,Greeting,"""hey, yo, hi""",None,"""Hello! What’s up?""","""Can you explain a bit more?""",calm,0.92,No
129,Greeting,Greeting,"""hi, hello, hey""",None,"""Hi there! How are you?""","""What’s been happening lately?""",calm,0.86,No
130,Joke,Joke,"""laugh, humor, joke""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you often feel this way?""",calm,0.95,Yes
131,Opinion,Opinion,"""sports, music, movies""",None,"""Sports are exciting! Do you play any?""","""Can you explain a bit more?""",enthusiastic,0.76,No
132,Greeting,Greeting,"""hi, hello, hey""",None,"""Hello! What’s up?""","""Do you enjoy this often?""",cheerful,0.74,No
133,Joke,Joke,"""joke, pun, funny""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Can you explain a bit more?""",helpful,0.85,Yes
134,Joke,Joke,"""humor, laugh, joke""",None,"""Here’s a joke: Why don’t scientists trust atoms? Because they make up everything!""","""Can you explain a bit more?""",enthusiastic,0.83,Yes
135,Mood,Mood,"""tired, sad, frustrated""",None,"""I’m glad to hear that! What’s making you happy today?""","""Do you usually do this?""",empathetic,0.95,Yes
136,Opinion,Opinion,"""books, tech, sports""",None,"""Sports are exciting! Do you play any?""","""Do you often feel this way?""",enthusiastic,0.96,No
137,Small Talk,Small Talk,"""pet, hobby, weather""",None,"""Pets are great! Do you have any?""","""What’s been happening lately?""",cheerful,0.91,No
138,Greeting,Greeting,"""yo, hello, hi""",None,"""Hey! How’s it going?""","""Do you usually do this?""",friendly,0.87,Yes
139,Joke,Joke,"""laugh, joke, pun""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you often feel this way?""",empathetic,0.77,Yes
140,Opinion,Opinion,"""movies, music, books""",None,"""Sports are exciting! Do you play any?""","""Do you enjoy this often?""",friendly,0.92,Yes
141,Opinion,Opinion,"""music, books, movies""",None,"""Sports are exciting! Do you play any?""","""Do you usually do this?""",helpful,0.75,Yes
142,Joke,Joke,"""funny, pun, joke""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Did that make you laugh?""",friendly,0.79,Yes
143,Greeting,Greeting,"""yo, hey, hello""",None,"""Hey! How’s it going?""","""Can you explain a bit more?""",friendly,0.87,Yes
144,Joke,Joke,"""pun, humor, joke""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you want to tell me more?""",cheerful,0.98,Yes
145,Mood,Mood,"""sad, excited, frustrated""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you want to tell me more?""",cheerful,0.78,Yes
146,Mood,Mood,"""joyful, sad, frustrated""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""Do you often feel this way?""",empathetic,0.92,Yes
147,Mood,Mood,"""joyful, tired, frustrated""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you often feel this way?""",enthusiastic,0.89,No
148,Small Talk,Small Talk,"""pet, hobby, travel""",None,"""I love talking about food! What’s your favorite meal?""","""Did that make you laugh?""",friendly,0.99,No
149,Opinion,Opinion,"""music, tech, movies""",None,"""Music is amazing! Who’s your favorite artist?""","""Do you often feel this way?""",playful,0.95,No
150,Joke,Joke,"""pun, laugh, humor""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Did that make you laugh?""",enthusiastic,0.82,No
151,Small Talk,Small Talk,"""hobby, weather, pet""",None,"""Pets are great! Do you have any?""","""Can you explain a bit more?""",helpful,0.98,Yes
152,Farewell,Farewell,"""night, see you, bye""",None,"""Bye! It was nice talking with you.""","""What’s been happening lately?""",friendly,0.7,Yes
153,Greeting,Greeting,"""yo, hi, hello""",None,"""Hi there! How are you?""","""Can you explain a bit more?""",empathetic,0.86,No
154,Opinion,Opinion,"""tech, music, movies""",None,"""Books are wonderful! What’s the last book you read?""","""Do you enjoy this often?""",empathetic,0.81,No
155,Opinion,Opinion,"""sports, music, tech""",None,"""Sports are exciting! Do you play any?""","""Did that make you laugh?""",helpful,0.9,Yes
156,Opinion,Opinion,"""tech, books, sports""",None,"""Music is amazing! Who’s your favorite artist?""","""Did that make you laugh?""",cheerful,0.79,Yes
157,Opinion,Opinion,"""movies, tech, sports""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Do you usually do this?""",calm,0.83,No
158,Joke,Joke,"""humor, laugh, pun""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you enjoy this often?""",playful,0.77,No
159,Greeting,Greeting,"""hello, yo, hi""",None,"""Hey! How’s it going?""","""Do you enjoy this often?""",helpful,0.76,Yes
160,Greeting,Greeting,"""hey, hi, hello""",None,"""Hello! What’s up?""","""Do you usually do this?""",cheerful,0.99,Yes
161,Greeting,Greeting,"""hello, yo, hi""",None,"""Hello! What’s up?""","""Did that make you laugh?""",empathetic,0.97,Yes
162,Joke,Joke,"""humor, pun, joke""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Did that make you laugh?""",calm,0.78,No
163,Farewell,Farewell,"""goodbye, see you, bye""",None,"""Good night! Sleep well.""","""Do you often feel this way?""",friendly,0.82,Yes
164,Opinion,Opinion,"""books, movies, music""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Can you explain a bit more?""",enthusiastic,0.85,Yes
165,Mood,Mood,"""sad, frustrated, tired""",None,"""That’s exciting! Can you tell me more?""","""Can you explain a bit more?""",cheerful,0.81,Yes
166,Mood,Mood,"""frustrated, tired, happy""",None,"""I’m glad to hear that! What’s making you happy today?""","""Can you explain a bit more?""",calm,0.95,No
167,Opinion,Opinion,"""books, tech, sports""",None,"""Technology is fascinating! What’s your favorite gadget?""","""Can you explain a bit more?""",cheerful,0.78,No
168,Farewell,Farewell,"""goodbye, bye, see you""",None,"""Good night! Sleep well.""","""Do you often feel this way?""",helpful,0.87,Yes
169,Small Talk,Small Talk,"""weather, pet, hobby""",None,"""Traveling is fun! Where is your dream destination?""","""Do you enjoy this often?""",playful,0.88,Yes
170,Farewell,Farewell,"""night, see you, goodbye""",None,"""Bye! It was nice talking with you.""","""Do you enjoy this often?""",cheerful,0.93,No
171,Greeting,Greeting,"""hi, hello, hey""",None,"""Hey! How’s it going?""","""Do you enjoy this often?""",playful,0.9,No
172,Greeting,Greeting,"""hi, hey, yo""",None,"""Hello! What’s up?""","""Do you often feel this way?""",friendly,0.97,Yes
173,Joke,Joke,"""funny, pun, humor""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Do you often feel this way?""",enthusiastic,0.95,Yes
174,Mood,Mood,"""joyful, happy, excited""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""What’s been happening lately?""",enthusiastic,0.85,Yes
175,Mood,Mood,"""joyful, frustrated, excited""",None,"""Feeling tired is normal. Have you had a chance to rest?""","""Do you enjoy this often?""",empathetic,0.75,No
176,Opinion,Opinion,"""movies, tech, books""",None,"""Music is amazing! Who’s your favorite artist?""","""Do you want to tell me more?""",helpful,0.72,No
177,Mood,Mood,"""excited, sad, joyful""",None,"""Oh no, I’m sorry you feel that way. Do you want to talk about it?""","""Can you explain a bit more?""",cheerful,0.89,Yes
178,Small Talk,Small Talk,"""food, pet, hobby""",None,"""Pets are great! Do you have any?""","""Do you often feel this way?""",enthusiastic,0.83,Yes
179,Farewell,Farewell,"""see you, night, goodbye""",None,"""Good night! Sleep well.""","""Did that make you laugh?""",calm,0.73,Yes
180,Farewell,Farewell,"""bye, goodbye, see you""",None,"""Good night! Sleep well.""","""What’s been happening lately?""",friendly,0.74,Yes
181,Greeting,Greeting,"""yo, hey, hi""",None,"""Hi there! How are you?""","""What’s been happening lately?""",friendly,0.99,No
182,Joke,Joke,"""humor, pun, funny""",None,"""I love puns! Here’s one: I’m reading a book on anti-gravity. It’s impossible to put down!""","""Did that make you laugh?""",calm,0.72,No
183,Farewell,Farewell,"""see you, goodbye, bye""",None,"""Good night! Sleep well.""","""Do you want to tell me more?""",helpful,0.88,Yes
184,Greeting,Greeting,"""hi, hello, hey""",None,"""Hello! What’s up?""","""Do you often feel this way?""",enthusiastic,0.93,Yes
185,Mood,Mood,"""joyful, excited, frustrated""",None,"""I’m glad to hear that! What’s making you happy today?""","""Do you want to tell me more?""",calm,0.71,No
186,Opinion,Opinion,"""tech, movies, music""",None,"""Movies are fun! What’s the last film you watched?""","""Do you usually do this?""",enthusiastic,0.78,No
187,Mood,Mood,"""happy, tired, frustrated""",None,"""That’s exciting! Can you tell me more?""","""Do you often feel this way?""",friendly,0.74,No
188,Opinion,Opinion,"""sports, tech, music""",None,"""Technology is fascinating! What’s your favorite gadget?""","""What’s been happening lately?""",friendly,0.75,Yes
189,Small Talk,Small Talk,"""pet, weather, food""",None,"""Traveling is fun! Where is your dream destination?""","""Do you enjoy this often?""",calm,0.76,No
190,Opinion,Opinion,"""books, music, sports""",None,"""Sports are exciting! Do you play any?""","""Do you often feel this way?""",cheerful,0.95,No
191,Farewell,Farewell,"""night, bye, see you""",None,"""Bye! It was nice talking with you.""","""Did that make you laugh?""",helpful,0.96,Yes
192,Mood,Mood,"""joyful, sad, tired""",None,"""I’m glad to hear that! What’s making you happy today?""","""What’s been happening lately?""",calm,0.81,Yes
193,Opinion,Opinion,"""books, tech, movies""",None,"""Books are wonderful! What’s the last book you read?""","""Do you usually do this?""",empathetic,0.98,No
